lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.04536394029855728,0.2527613639831543,0.0
1,0.0001,8.0,10,10,0.04485921561717987,0.27048611640930176,0.0
2,0.00012640883055713373,8.0,10,10,0.040668316185474396,0.32264161109924316,0.0
3,0.00015979192442822145,8.0,10,10,0.03717018663883209,0.33143067359924316,0.0
4,0.00020199110299445384,8.0,10,10,0.03160452842712402,0.3525056838989258,0.0
5,0.0002553345911247446,8.0,10,10,0.03114888072013855,0.3405916690826416,0.0
6,0.00032276547064862866,8.0,10,10,0.030291005969047546,0.33162832260131836,0.0
7,0.00040800405688916016,8.0,10,10,0.029747456312179565,0.3842494487762451,0.0
8,0.0005157531569392505,8.0,10,10,0.02929261326789856,0.42320847511291504,0.0
9,0.0006519575342484052,8.0,10,10,0.028973087668418884,0.3973863124847412,0.0
10,0.0008241318947725336,8.0,10,10,0.029535792768001556,0.4502711296081543,0.0
11,0.0010417754904303077,8.0,10,10,0.03056974709033966,0.44875288009643555,0.0
12,0.0013168962144837965,8.0,10,10,0.03149984031915665,0.448702335357666,0.0
13,0.0016646731043801306,8.0,10,10,0.03259744495153427,0.4481027126312256,0.0
14,0.0021042938038460593,8.0,10,10,0.0342114195227623,0.44924473762512207,0.0
15,0.002660013188928029,8.0,10,10,0.03605382889509201,0.44899797439575195,0.0
16,0.003362491564789445,8.0,10,10,0.03792889416217804,0.4487326145172119,0.0
17,0.004250486264632604,8.0,10,10,0.036842964589595795,0.4493377208709717,0.0
18,0.005372989980113671,8.0,10,10,0.03751585632562637,0.4492769241333008,0.0
19,0.006791933799813663,8.0,10,10,0.038491327315568924,0.4487602710723877,0.0
20,0.008585604088559148,8.0,10,10,0.03634361922740936,0.45015692710876465,0.0
21,0.010852961724613079,8.0,10,10,0.04085364565253258,0.448291540145874,0.0
22,0.01371910199689674,8.0,10,10,0.046917978674173355,0.44818663597106934,0.0
23,0.017342156397217548,8.0,10,10,0.051159679889678955,0.448824405670166,0.0
24,0.021922017095111858,8.0,10,10,0.055580008774995804,0.4490368366241455,0.0
25,0.027711365444465837,8.0,10,10,0.052709922194480896,0.4485282897949219,0.0
26,0.035029612989762926,8.0,10,10,0.009975098073482513,0.449232816696167,0.0
27,0.04428052412904917,8.0,10,10,0.00788813829421997,0.44998788833618164,0.0
28,0.055974492716100485,8.0,10,10,0.006152160465717316,0.4497866630554199,0.0
29,0.07075670165271061,8.0,10,10,0.008973538875579834,0.45014452934265137,0.0
30,0.0894427190999916,8.0,10,10,0.006733305752277374,0.44965481758117676,0.0
31,0.11306349523280158,8.0,10,10,0.0061457231640815735,0.449404239654541,0.0
32,0.14292224211080512,8.0,10,10,0.011507807299494743,0.4534292221069336,0.0
33,0.18066633485830408,8.0,10,10,0.012380845844745636,0.45034027099609375,0.0
34,0.22837820110481744,8.0,10,10,0.009639143943786621,0.4507274627685547,0.0
35,0.2886902132640188,8.0,10,10,0.024250708520412445,0.45036745071411133,0.0
36,0.3649299225199419,8.0,10,10,0.015582926571369171,0.4511129856109619,0.0
37,0.4613036474105127,8.0,10,10,0.006589822471141815,0.4502713680267334,0.0
38,0.5831285460090326,8.0,10,10,0.02317136712372303,0.4504694938659668,0.0
39,0.7371259756548356,8.0,10,10,0.01736961305141449,0.4504406452178955,0.0
40,0.931792325558141,8.0,10,10,0.02336263656616211,0.450014591217041,0.0
41,1.177867781959165,8.0,10,10,0.01932142674922943,0.44892168045043945,0.0
42,1.48892888868383,8.0,10,10,0.025080867111682892,0.44826388359069824,0.0
43,1.882137596012561,8.0,10,10,0.011282868683338165,0.448824405670166,0.0
44,2.3791881245956286,8.0,10,10,0.019710153341293335,0.448270320892334,0.0
45,3.0075038850555353,8.0,10,10,0.011213049292564392,0.44829702377319336,0.0
46,3.801750490059066,8.0,10,10,0.02017807960510254,0.4495704174041748,0.0
47,4.8057483351837655,8.0,10,10,0.011445000767707825,0.44931674003601074,0.0
48,6.074890270024722,8.0,10,10,0.018982812762260437,0.44933080673217773,0.0
49,7.679197747967353,8.0,10,10,0.01850433647632599,0.45017242431640625,0.0
50,9.70718406937528,8.0,10,10,0.017545267939567566,0.44898176193237305,0.0
51,12.270737862125678,8.0,10,10,0.01355348527431488,0.4489166736602783,0.0
52,15.511296232244533,8.0,10,10,0.015473606064915657,0.4488716125488281,0.0
53,19.60764817143306,8.0,10,10,0.017897658050060272,0.4487285614013672,0.0
54,24.785798753265745,8.0,10,10,0.020810335874557495,0.4483785629272461,0.0
55,31.33143834824786,8.0,10,10,0.02232840284705162,0.44879770278930664,0.0
56,39.60570481274946,8.0,10,10,0.017445944249629974,0.4488692283630371,0.0
57,50.06510828770702,8.0,10,10,0.016134798526763916,0.44942450523376465,0.0
58,63.28671790365308,8.0,10,10,0.01509418711066246,0.44937968254089355,0.0
59,80.0,8.0,10,10,0.021604128181934357,0.44886231422424316,0.0
