lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.07657796144485474,0.39985179901123047,0.0
1,0.0001,8.0,10,10,0.07643154263496399,0.4409182071685791,0.0
2,0.00012234101814268488,8.0,10,10,0.07602812349796295,0.455157995223999,0.0
3,0.00014967324720188764,8.0,10,10,0.07508401572704315,0.5103919506072998,0.0
4,0.00018311177451400693,8.0,10,10,0.07411396503448486,0.45511674880981445,0.0
5,0.0002240208092795734,8.0,10,10,0.07324133068323135,0.5274481773376465,0.0
6,0.00027406933892411235,8.0,10,10,0.07308404892683029,0.5522208213806152,0.0
7,0.00033529921965668515,8.0,10,10,0.07328680157661438,0.496840238571167,0.0
8,0.00041020847915246593,8.0,10,10,0.07115579396486282,0.5932674407958984,0.0
9,0.0005018532299027501,8.0,10,10,0.07121771574020386,0.6692202091217041,0.0
10,0.0006139723510449734,8.0,10,10,0.07166451215744019,0.7105727195739746,0.0
11,0.0007511400253830005,8.0,10,10,0.07187366485595703,0.7109854221343994,0.0
12,0.0009189523547307844,8.0,10,10,0.07083457708358765,0.7108392715454102,0.0
13,0.0011242556670238199,8.0,10,10,0.07106004655361176,0.7109994888305664,0.0
14,0.0013754258295637742,8.0,10,10,0.07074272632598877,0.7105472087860107,0.0
15,0.0016827099636857908,8.0,10,10,0.0695672333240509,0.710749626159668,0.0
16,0.002058644501961599,8.0,10,10,0.06954403966665268,0.7106301784515381,0.0
17,0.0025185666436382246,8.0,10,10,0.0698721632361412,0.7112729549407959,0.0
18,0.003081240074429053,8.0,10,10,0.067307248711586,0.7107582092285156,0.0
19,0.0037696204784769243,8.0,10,10,0.06940098106861115,0.7106478214263916,0.0
20,0.004611792073483823,8.0,10,10,0.0687660500407219,0.7107365131378174,0.0
21,0.005642113377323747,8.0,10,10,0.06993928551673889,0.7115204334259033,0.0
22,0.006902618950582495,8.0,10,10,0.0718827173113823,0.7105863094329834,0.0
23,0.008444734302652534,8.0,10,10,0.07427631318569183,0.7107086181640625,0.0
24,0.010331373925309669,8.0,10,10,0.07869480550289154,0.7109544277191162,0.0
25,0.012639508048351728,8.0,10,10,0.09178565442562103,0.7111058235168457,0.0
26,0.015463302834580101,8.0,10,10,0.09137453883886337,0.7107503414154053,0.0
27,0.018917962126311944,8.0,10,10,0.08499298989772797,0.7106931209564209,0.0
28,0.02314442747717757,8.0,10,10,0.07916682958602905,0.7109458446502686,0.0
29,0.028315128218874355,8.0,10,10,0.09185541421175003,0.7107019424438477,0.0
30,0.03464101615137756,8.0,10,10,0.11748915165662766,0.710831880569458,0.0
31,0.04238017185456721,8.0,10,10,0.10676481574773788,0.7109191417694092,0.0
32,0.05184833373749715,8.0,10,10,0.13532954454421997,0.710965633392334,0.0
33,0.06343177938447118,8.0,10,10,0.14603053033351898,0.710690975189209,0.0
34,0.07760308472498374,8.0,10,10,0.10366706550121307,0.7104454040527344,0.0
35,0.09494040396267556,8.0,10,10,0.03539401292800903,0.7103326320648193,0.0
36,0.11615105683671521,8.0,10,10,0.011658241972327232,0.7104983329772949,0.0
37,0.14210038551752596,8.0,10,10,0.020842228084802628,0.709721565246582,0.0
38,0.17384705842682158,8.0,10,10,0.015837611630558968,0.710230827331543,0.0
39,0.21268626129048196,8.0,10,10,0.015125248581171036,0.7101037502288818,0.0
40,0.2602025375123867,8.0,10,10,0.015864089131355286,0.7101147174835205,0.0
41,0.31833443362575536,8.0,10,10,0.019476860761642456,0.709972620010376,0.0
42,0.3894535871964989,8.0,10,10,0.016919221729040146,0.7100236415863037,0.0
43,0.4764614837694058,8.0,10,10,0.016198284924030304,0.7100241184234619,0.0
44,0.5829078303012343,8.0,10,10,0.017707504332065582,0.7100582122802734,0.0
45,0.7131353744239637,8.0,10,10,0.021920297294855118,0.7103843688964844,0.0
46,0.872457077805926,8.0,10,10,0.019539639353752136,0.7100391387939453,0.0
47,1.067372871845685,8.0,10,10,0.016665354371070862,0.7098524570465088,0.0
48,1.3058348387948286,8.0,10,10,0.017385900020599365,0.7105875015258789,0.0
49,1.597571637043481,8.0,10,10,0.023371420800685883,0.7100074291229248,0.0
50,1.9544854063177528,8.0,10,10,0.021197021007537842,0.7106742858886719,0.0
51,2.39113734553933,8.0,10,10,0.013850852847099304,0.7104344367980957,0.0
52,2.925341773722785,8.0,10,10,0.018070446327328682,0.7102534770965576,0.0
53,3.5788929101257314,8.0,10,10,0.01809089630842209,0.7100639343261719,0.0
54,4.378454024484184,8.0,10,10,0.01776166260242462,0.709996223449707,0.0
55,5.356645232463322,8.0,10,10,0.013908394612371922,0.710322380065918,0.0
56,6.553374315687217,8.0,10,10,0.013828247785568237,0.7102067470550537,0.0
57,8.017464860512948,8.0,10,10,0.017039280384778976,0.7101728916168213,0.0
58,9.80864813958353,8.0,10,10,0.013543650507926941,0.7102992534637451,0.0
59,12.0,8.0,10,10,0.01670113019645214,0.7101824283599854,0.0
