lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.22724048793315887,0.4089367389678955,0.0
1,0.0001,8.0,10,10,0.2265697568655014,0.4007558822631836,0.0
2,0.00012234101814268488,8.0,10,10,0.22677499055862427,0.4290945529937744,0.0
3,0.00014967324720188764,8.0,10,10,0.22955039143562317,0.40152573585510254,0.0
4,0.00018311177451400693,8.0,10,10,0.23382769525051117,0.40143871307373047,0.0
5,0.0002240208092795734,8.0,10,10,0.23771515488624573,0.44684934616088867,0.0
6,0.00027406933892411235,8.0,10,10,0.24164380133152008,0.4160172939300537,0.0
7,0.00033529921965668515,8.0,10,10,0.24502652883529663,0.4152562618255615,0.0
8,0.00041020847915246593,8.0,10,10,0.2477281093597412,0.41629767417907715,0.0
9,0.0005018532299027501,8.0,10,10,0.2502633333206177,0.429473876953125,0.0
10,0.0006139723510449734,8.0,10,10,0.25259867310523987,0.4009571075439453,0.0
11,0.0007511400253830005,8.0,10,10,0.25473088026046753,0.4009284973144531,0.0
12,0.0009189523547307844,8.0,10,10,0.25667062401771545,0.404522180557251,0.0
13,0.0011242556670238199,8.0,10,10,0.2584250569343567,0.41434645652770996,0.0
14,0.0013754258295637742,8.0,10,10,0.26003918051719666,0.41449832916259766,0.0
15,0.0016827099636857908,8.0,10,10,0.26146239042282104,0.42818689346313477,0.0
16,0.002058644501961599,8.0,10,10,0.26270198822021484,0.4700744152069092,0.0
17,0.0025185666436382246,8.0,10,10,0.2645326256752014,0.4422895908355713,0.0
18,0.003081240074429053,8.0,10,10,0.26719334721565247,0.4971456527709961,0.0
19,0.0037696204784769243,8.0,10,10,0.26974642276763916,0.4973440170288086,0.0
20,0.004611792073483823,8.0,10,10,0.2721926271915436,0.5291304588317871,0.0
21,0.005642113377323747,8.0,10,10,0.2745206654071808,0.580604076385498,0.0
22,0.006902618950582495,8.0,10,10,0.27721279859542847,0.7055108547210693,0.0
23,0.008444734302652534,8.0,10,10,0.27981579303741455,0.7122828960418701,0.0
24,0.010331373925309669,8.0,10,10,0.2821134626865387,0.7126755714416504,0.0
25,0.012639508048351728,8.0,10,10,0.2843227684497833,0.7120695114135742,0.0
26,0.015463302834580101,8.0,10,10,0.29464292526245117,0.7122809886932373,0.0
27,0.018917962126311944,8.0,10,10,0.2998356223106384,0.7179522514343262,0.0
28,0.02314442747717757,8.0,10,10,0.30318668484687805,0.7291808128356934,0.0
29,0.028315128218874355,8.0,10,10,0.2909182012081146,0.7161133289337158,0.0
30,0.03464101615137756,8.0,10,10,0.2847520411014557,0.7199923992156982,0.0
31,0.04238017185456721,8.0,10,10,0.3090152442455292,0.7156603336334229,0.0
32,0.05184833373749715,8.0,10,10,0.3087430000305176,0.7159183025360107,0.0
33,0.06343177938447118,8.0,10,10,0.33962178230285645,0.7154414653778076,0.0
34,0.07760308472498374,8.0,10,10,0.32739266753196716,0.7200603485107422,0.0
35,0.09494040396267556,8.0,10,10,0.3609688878059387,0.7159786224365234,0.0
36,0.11615105683671521,8.0,10,10,0.3887280523777008,0.7158915996551514,0.0
37,0.14210038551752596,8.0,10,10,0.39759543538093567,0.7154347896575928,0.0
38,0.17384705842682158,8.0,10,10,0.42664334177970886,0.7150650024414062,0.0
39,0.21268626129048196,8.0,10,10,0.4188576936721802,0.7139925956726074,0.0
40,0.2602025375123867,8.0,10,10,0.3377636671066284,0.7146050930023193,0.0
41,0.31833443362575536,8.0,10,10,0.2683015465736389,0.7179949283599854,0.0
42,0.3894535871964989,8.0,10,10,0.1854250133037567,0.7145528793334961,0.0
43,0.4764614837694058,8.0,10,10,0.1172390729188919,0.714118480682373,0.0
44,0.5829078303012343,8.0,10,10,0.05060550197958946,0.7143239974975586,0.0
45,0.7131353744239637,8.0,10,10,0.03962361067533493,0.7139818668365479,0.0
46,0.872457077805926,8.0,10,10,0.02732028067111969,0.7143535614013672,0.0
47,1.067372871845685,8.0,10,10,0.018403131514787674,0.7147316932678223,0.0
48,1.3058348387948286,8.0,10,10,0.015213366597890854,0.7169945240020752,0.0
49,1.597571637043481,8.0,10,10,0.020936056971549988,0.7151176929473877,0.0
50,1.9544854063177528,8.0,10,10,0.019668933004140854,0.7151076793670654,0.0
51,2.39113734553933,8.0,10,10,0.01963372528553009,0.7142355442047119,0.0
52,2.925341773722785,8.0,10,10,0.017875459045171738,0.7140202522277832,0.0
53,3.5788929101257314,8.0,10,10,0.010531410574913025,0.7139670848846436,0.0
54,4.378454024484184,8.0,10,10,0.014888271689414978,0.7139673233032227,0.0
55,5.356645232463322,8.0,10,10,0.014066103845834732,0.7138724327087402,0.0
56,6.553374315687217,8.0,10,10,0.014726381748914719,0.7138772010803223,0.0
57,8.017464860512948,8.0,10,10,0.013951674103736877,0.7135984897613525,0.0
58,9.80864813958353,8.0,10,10,0.01915721595287323,0.7137680053710938,0.0
59,12.0,8.0,10,10,0.013723760843276978,0.7138786315917969,0.0
