lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.055511102080345154,0.4001607894897461,0.0
1,0.0001,8.0,10,10,0.053098488599061966,0.45476675033569336,0.0
2,0.00012234101814268488,8.0,10,10,0.0501241534948349,0.44118213653564453,0.0
3,0.00014967324720188764,8.0,10,10,0.04835887998342514,0.4271965026855469,0.0
4,0.00018311177451400693,8.0,10,10,0.04751931503415108,0.4688546657562256,0.0
5,0.0002240208092795734,8.0,10,10,0.04723839834332466,0.42731380462646484,0.0
6,0.00027406933892411235,8.0,10,10,0.047737859189510345,0.39963483810424805,0.0
7,0.00033529921965668515,8.0,10,10,0.046822380274534225,0.49626660346984863,0.0
8,0.00041020847915246593,8.0,10,10,0.048140108585357666,0.4964578151702881,0.0
9,0.0005018532299027501,8.0,10,10,0.048154667019844055,0.6277575492858887,0.0
10,0.0006139723510449734,8.0,10,10,0.04862987995147705,0.648622989654541,0.0
11,0.0007511400253830005,8.0,10,10,0.04808902367949486,0.6689772605895996,0.0
12,0.0009189523547307844,8.0,10,10,0.04858976602554321,0.6899855136871338,0.0
13,0.0011242556670238199,8.0,10,10,0.04800736904144287,0.7105717658996582,0.0
14,0.0013754258295637742,8.0,10,10,0.04916589707136154,0.7103345394134521,0.0
15,0.0016827099636857908,8.0,10,10,0.048086367547512054,0.7106120586395264,0.0
16,0.002058644501961599,8.0,10,10,0.04919114336371422,0.7107160091400146,0.0
17,0.0025185666436382246,8.0,10,10,0.04992350935935974,0.7107212543487549,0.0
18,0.003081240074429053,8.0,10,10,0.048086609691381454,0.7107458114624023,0.0
19,0.0037696204784769243,8.0,10,10,0.04918939992785454,0.7107548713684082,0.0
20,0.004611792073483823,8.0,10,10,0.050090499222278595,0.7105884552001953,0.0
21,0.005642113377323747,8.0,10,10,0.0506337508559227,0.714158296585083,0.0
22,0.006902618950582495,8.0,10,10,0.05300741642713547,0.7113168239593506,0.0
23,0.008444734302652534,8.0,10,10,0.05627836287021637,0.7113816738128662,0.0
24,0.010331373925309669,8.0,10,10,0.05531590059399605,0.71099853515625,0.0
25,0.012639508048351728,8.0,10,10,0.05716366693377495,0.7113308906555176,0.0
26,0.015463302834580101,8.0,10,10,0.05160610377788544,0.711083173751831,0.0
27,0.018917962126311944,8.0,10,10,0.05226432904601097,0.711005687713623,0.0
28,0.02314442747717757,8.0,10,10,0.058643192052841187,0.7107691764831543,0.0
29,0.028315128218874355,8.0,10,10,0.07217437028884888,0.7110347747802734,0.0
30,0.03464101615137756,8.0,10,10,0.09869347512722015,0.7108519077301025,0.0
31,0.04238017185456721,8.0,10,10,0.1096533015370369,0.7110590934753418,0.0
32,0.05184833373749715,8.0,10,10,0.11752833425998688,0.7107481956481934,0.0
33,0.06343177938447118,8.0,10,10,0.11433649063110352,0.710874080657959,0.0
34,0.07760308472498374,8.0,10,10,0.04567258805036545,0.7108721733093262,0.0
35,0.09494040396267556,8.0,10,10,0.024819454178214073,0.7103176116943359,0.0
36,0.11615105683671521,8.0,10,10,0.004840940237045288,0.7102210521697998,0.0
37,0.14210038551752596,8.0,10,10,0.00774141401052475,0.710456132888794,0.0
38,0.17384705842682158,8.0,10,10,0.004649583250284195,0.7104930877685547,0.0
39,0.21268626129048196,8.0,10,10,0.020573193207383156,0.7113304138183594,0.0
40,0.2602025375123867,8.0,10,10,0.010821424424648285,0.7104465961456299,0.0
41,0.31833443362575536,8.0,10,10,0.01258070021867752,0.7104637622833252,0.0
42,0.3894535871964989,8.0,10,10,0.01630019210278988,0.7101914882659912,0.0
43,0.4764614837694058,8.0,10,10,0.024023696780204773,0.7102766036987305,0.0
44,0.5829078303012343,8.0,10,10,0.025684848427772522,0.7107470035552979,0.0
45,0.7131353744239637,8.0,10,10,0.01507134735584259,0.7104527950286865,0.0
46,0.872457077805926,8.0,10,10,0.01335078477859497,0.7106490135192871,0.0
47,1.067372871845685,8.0,10,10,0.014691680669784546,0.710378885269165,0.0
48,1.3058348387948286,8.0,10,10,0.02536318637430668,0.7104549407958984,0.0
49,1.597571637043481,8.0,10,10,0.015256248414516449,0.7109193801879883,0.0
50,1.9544854063177528,8.0,10,10,0.019237851724028587,0.7106113433837891,0.0
51,2.39113734553933,8.0,10,10,0.02045799046754837,0.7101106643676758,0.0
52,2.925341773722785,8.0,10,10,0.019105546176433563,0.7103292942047119,0.0
53,3.5788929101257314,8.0,10,10,0.017675437033176422,0.7105371952056885,0.0
54,4.378454024484184,8.0,10,10,0.02160152792930603,0.710627555847168,0.0
55,5.356645232463322,8.0,10,10,0.02010446786880493,0.7106971740722656,0.0
56,6.553374315687217,8.0,10,10,0.01819504052400589,0.7104218006134033,0.0
57,8.017464860512948,8.0,10,10,0.013063989579677582,0.7105135917663574,0.0
58,9.80864813958353,8.0,10,10,0.0198681578040123,0.710517406463623,0.0
59,12.0,8.0,10,10,0.022407682612538338,0.7102782726287842,0.0
