lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.28099489212036133,0.9383585453033447,0.0
1,0.0001,8.0,1,10,0.28480634093284607,0.7504868507385254,0.0
2,0.00012742749857031334,8.0,1,10,0.2885555326938629,0.7516593933105469,0.0
3,0.0001623776739188721,8.0,1,10,0.29244789481163025,0.8587558269500732,0.0
4,0.00020691380811147902,8.0,1,10,0.29733574390411377,0.783935546875,0.0
5,0.00026366508987303583,8.0,1,10,0.30116647481918335,0.8072481155395508,0.0
6,0.0003359818286283781,8.0,1,10,0.3059923052787781,0.8155546188354492,0.0
7,0.00042813323987193956,8.0,1,10,0.31080588698387146,0.8806605339050293,0.0
8,0.000545559478116852,8.0,1,10,0.31539303064346313,0.8178043365478516,0.0
9,0.0006951927961775605,8.0,1,10,0.3200361132621765,0.7506723403930664,0.0
10,0.0008858667904100823,8.0,1,10,0.3236287832260132,0.8521761894226074,0.0
11,0.0011288378916846883,8.0,1,10,0.32840174436569214,0.8044242858886719,0.0
12,0.0014384498882876629,8.0,1,10,0.33262044191360474,0.8868181705474854,0.0
13,0.0018329807108324356,8.0,1,10,0.33714035153388977,0.9252445697784424,0.0
14,0.002335721469090121,8.0,1,10,0.341841459274292,0.9440650939941406,0.0
15,0.002976351441631319,8.0,1,10,0.34606504440307617,1.3562207221984863,0.0
16,0.00379269019073225,8.0,1,10,0.3495953679084778,1.336954116821289,0.0
17,0.004832930238571752,8.0,1,10,0.35336267948150635,1.3300914764404297,0.0
18,0.00615848211066026,8.0,1,10,0.3571493327617645,1.3449041843414307,0.0
19,0.007847599703514606,8.0,1,10,0.36097776889801025,1.3279850482940674,0.0
20,0.01,8.0,1,10,0.3681861162185669,1.3410141468048096,0.0
21,0.012742749857031334,8.0,1,10,0.37495845556259155,1.3466100692749023,0.0
22,0.01623776739188721,8.0,1,10,0.37446755170822144,1.3475911617279053,0.0
23,0.0206913808111479,8.0,1,10,0.37509381771087646,1.347489595413208,0.0
24,0.026366508987303583,8.0,1,10,0.3864930272102356,1.3481543064117432,0.0
25,0.03359818286283781,8.0,1,10,0.3997109532356262,1.3470182418823242,0.0
26,0.04281332398719392,8.0,1,10,0.3930179476737976,1.3525092601776123,0.0
27,0.05455594781168514,8.0,1,10,0.40404847264289856,1.3361899852752686,0.0
28,0.06951927961775606,8.0,1,10,0.38648656010627747,1.3449046611785889,0.0
29,0.08858667904100823,8.0,1,10,0.3903084993362427,1.3510591983795166,0.0
30,0.11288378916846883,8.0,1,10,0.37116801738739014,1.3406519889831543,0.0
31,0.14384498882876628,8.0,1,10,0.3879622220993042,1.3471040725708008,0.0
32,0.18329807108324356,8.0,1,10,0.3955303728580475,1.3437855243682861,0.0
33,0.23357214690901212,8.0,1,10,0.3662988543510437,1.344900369644165,0.0
34,0.29763514416313164,8.0,1,10,0.2961125671863556,1.3484957218170166,0.0
35,0.3792690190732246,8.0,1,10,0.22873812913894653,1.3488895893096924,0.0
36,0.4832930238571752,8.0,1,10,0.13769398629665375,1.3466112613677979,0.0
37,0.615848211066026,8.0,1,10,0.07113349437713623,1.3559508323669434,0.0
38,0.7847599703514607,8.0,1,9,0.017574571073055267,1.348252773284912,0.055248618784530384
39,1.0,8.0,1,7,0.016031501814723015,1.3525056838989258,0.021739130434782608
