lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.09516675770282745,0.2858445644378662,0.0
1,0.0001,8.0,10,10,0.09601497650146484,0.3155066967010498,0.0
2,0.00012640883055713373,8.0,10,10,0.0977848544716835,0.29346513748168945,0.0
3,0.00015979192442822145,8.0,10,10,0.09922314435243607,0.3148365020751953,0.0
4,0.00020199110299445384,8.0,10,10,0.09911682456731796,0.3239305019378662,0.0
5,0.0002553345911247446,8.0,10,10,0.10018429905176163,0.346146821975708,0.0
6,0.00032276547064862866,8.0,10,10,0.10113603621721268,0.338773250579834,0.0
7,0.00040800405688916016,8.0,10,10,0.09984547644853592,0.387556791305542,0.0
8,0.0005157531569392505,8.0,10,10,0.09887651354074478,0.3868086338043213,0.0
9,0.0006519575342484052,8.0,10,10,0.09803873300552368,0.3976709842681885,0.0
10,0.0008241318947725336,8.0,10,10,0.09745180606842041,0.3995673656463623,0.0
11,0.0010417754904303077,8.0,10,10,0.0972205400466919,0.4842827320098877,0.0
12,0.0013168962144837965,8.0,10,10,0.09705957770347595,0.5028402805328369,0.0
13,0.0016646731043801306,8.0,10,10,0.09692639857530594,0.49401235580444336,0.0
14,0.0021042938038460593,8.0,10,10,0.09686090797185898,0.5006217956542969,0.0
15,0.002660013188928029,8.0,10,10,0.09680569171905518,0.5092194080352783,0.0
16,0.003362491564789445,8.0,10,10,0.09703630208969116,0.5064406394958496,0.0
17,0.004250486264632604,8.0,10,10,0.09741005301475525,0.5032432079315186,0.0
18,0.005372989980113671,8.0,10,10,0.09770369529724121,0.5013604164123535,0.0
19,0.006791933799813663,8.0,10,10,0.09823929518461227,0.49573731422424316,0.0
20,0.008585604088559148,8.0,10,10,0.09745200723409653,0.5052614212036133,0.0
21,0.010852961724613079,8.0,10,10,0.09299170225858688,0.5045375823974609,0.0
22,0.01371910199689674,8.0,10,10,0.08380753546953201,0.51776123046875,0.0
23,0.017342156397217548,8.0,10,10,0.07363460212945938,0.5019412040710449,0.0
24,0.021922017095111858,8.0,10,10,0.07559020072221756,0.4949665069580078,0.0
25,0.027711365444465837,8.0,10,10,0.07708027958869934,0.4924049377441406,0.0
26,0.035029612989762926,8.0,10,10,0.07104082405567169,0.5025660991668701,0.0
27,0.04428052412904917,8.0,10,10,0.04308466613292694,0.5047621726989746,0.0
28,0.055974492716100485,8.0,10,10,0.008945286273956299,0.5033762454986572,0.0
29,0.07075670165271061,8.0,10,10,0.007546812295913696,0.5061721801757812,0.0
30,0.0894427190999916,8.0,10,10,0.01111241802573204,0.5126552581787109,0.0
31,0.11306349523280158,8.0,10,10,0.010102428495883942,0.49796152114868164,0.0
32,0.14292224211080512,8.0,10,10,0.005691636353731155,0.5038275718688965,0.0
33,0.18066633485830408,8.0,10,10,0.015941224992275238,0.5051255226135254,0.0
34,0.22837820110481744,8.0,10,10,0.015657097101211548,0.502913236618042,0.0
35,0.2886902132640188,8.0,10,10,0.018151722848415375,0.5047571659088135,0.0
36,0.3649299225199419,8.0,10,10,0.015365347266197205,0.5026776790618896,0.0
37,0.4613036474105127,8.0,10,10,0.018895313143730164,0.4965176582336426,0.0
38,0.5831285460090326,8.0,10,10,0.024263564497232437,0.49501681327819824,0.0
39,0.7371259756548356,8.0,10,10,0.01744726672768593,0.4990551471710205,0.0
40,0.931792325558141,8.0,10,10,0.017750505357980728,0.5017294883728027,0.0
41,1.177867781959165,8.0,10,10,0.018631983548402786,0.4974243640899658,0.0
42,1.48892888868383,8.0,10,10,0.01260770857334137,0.5004065036773682,0.0
43,1.882137596012561,8.0,10,10,0.020817779004573822,0.5049107074737549,0.0
44,2.3791881245956286,8.0,10,10,0.02162379026412964,0.5057721138000488,0.0
45,3.0075038850555353,8.0,10,10,0.01577679067850113,0.5070028305053711,0.0
46,3.801750490059066,8.0,10,10,0.02482326328754425,0.4984276294708252,0.0
47,4.8057483351837655,8.0,10,10,0.015320561826229095,0.4964144229888916,0.0
48,6.074890270024722,8.0,10,10,0.01967385783791542,0.49617600440979004,0.0
49,7.679197747967353,8.0,10,10,0.018420200794935226,0.499786376953125,0.0
50,9.70718406937528,8.0,10,10,0.016385063529014587,0.4998815059661865,0.0
51,12.270737862125678,8.0,10,10,0.021748628467321396,0.4999508857727051,0.0
52,15.511296232244533,8.0,10,10,0.01255093514919281,0.49927568435668945,0.0
53,19.60764817143306,8.0,10,10,0.01737086847424507,0.4999561309814453,0.0
54,24.785798753265745,8.0,10,10,0.016993995755910873,0.5031945705413818,0.0
55,31.33143834824786,8.0,10,10,0.017009388655424118,0.4979710578918457,0.0
56,39.60570481274946,8.0,10,10,0.019527316093444824,0.5002822875976562,0.0
57,50.06510828770702,8.0,10,10,0.02224896103143692,0.4976944923400879,0.0
58,63.28671790365308,8.0,10,10,0.013746891170740128,0.49628305435180664,0.0
59,80.0,8.0,10,10,0.021443186327815056,0.5001578330993652,0.0
