lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.28099489212036133,0.9943461418151855,0.0
1,0.0001,8.0,1,10,0.28480634093284607,0.8062293529510498,0.0
2,0.00012742749857031334,8.0,1,10,0.2885555326938629,0.8100686073303223,0.0
3,0.0001623776739188721,8.0,1,10,0.29244789481163025,0.9283850193023682,0.0
4,0.00020691380811147902,8.0,1,10,0.29733574390411377,0.8379843235015869,0.0
5,0.00026366508987303583,8.0,1,10,0.30116647481918335,0.8634850978851318,0.0
6,0.0003359818286283781,8.0,1,10,0.3059923052787781,0.8633997440338135,0.0
7,0.00042813323987193956,8.0,1,10,0.31080588698387146,0.9528605937957764,0.0
8,0.000545559478116852,8.0,1,10,0.31539303064346313,0.8724956512451172,0.0
9,0.0006951927961775605,8.0,1,10,0.3200361132621765,0.8066360950469971,0.0
10,0.0008858667904100823,8.0,1,10,0.3236287832260132,0.919837474822998,0.0
11,0.0011288378916846883,8.0,1,10,0.32840174436569214,0.8647506237030029,0.0
12,0.0014384498882876629,8.0,1,10,0.33262044191360474,0.9221222400665283,0.0
13,0.0018329807108324356,8.0,1,10,0.33714035153388977,0.9810121059417725,0.0
14,0.002335721469090121,8.0,1,10,0.341841459274292,1.0114080905914307,0.0
15,0.002976351441631319,8.0,1,10,0.34606504440307617,1.44706130027771,0.0
16,0.00379269019073225,8.0,1,10,0.3495953679084778,1.4491233825683594,0.0
17,0.004832930238571752,8.0,1,10,0.35336267948150635,1.4509179592132568,0.0
18,0.00615848211066026,8.0,1,10,0.3571493327617645,1.453232765197754,0.0
19,0.007847599703514606,8.0,1,10,0.36097776889801025,1.447305679321289,0.0
20,0.01,8.0,1,10,0.3681861162185669,1.4493417739868164,0.0
21,0.012742749857031334,8.0,1,10,0.37495845556259155,1.4676446914672852,0.0
22,0.01623776739188721,8.0,1,10,0.37446755170822144,1.5285873413085938,0.0
23,0.0206913808111479,8.0,1,10,0.37509381771087646,1.3925611972808838,0.0
24,0.026366508987303583,8.0,1,10,0.3864930272102356,1.3553645610809326,0.0
25,0.03359818286283781,8.0,1,10,0.3997109532356262,1.3450489044189453,0.0
26,0.04281332398719392,8.0,1,10,0.3930179476737976,1.3456604480743408,0.0
27,0.05455594781168514,8.0,1,10,0.40404847264289856,1.3467249870300293,0.0
28,0.06951927961775606,8.0,1,10,0.38648656010627747,1.346318244934082,0.0
29,0.08858667904100823,8.0,1,10,0.3903084993362427,1.348816156387329,0.0
30,0.11288378916846883,8.0,1,10,0.37116801738739014,1.3486478328704834,0.0
31,0.14384498882876628,8.0,1,10,0.3879622220993042,1.3459532260894775,0.0
32,0.18329807108324356,8.0,1,10,0.3955303728580475,1.3554623126983643,0.0
33,0.23357214690901212,8.0,1,10,0.3662988543510437,1.348475456237793,0.0
34,0.29763514416313164,8.0,1,10,0.2961125671863556,1.3446102142333984,0.0
35,0.3792690190732246,8.0,1,10,0.22873812913894653,1.3415205478668213,0.0
36,0.4832930238571752,8.0,1,10,0.13769398629665375,1.342519998550415,0.0
37,0.615848211066026,8.0,1,10,0.07113349437713623,1.3414361476898193,0.0
38,0.7847599703514607,8.0,1,9,0.017574571073055267,1.3424978256225586,0.055248618784530384
39,1.0,8.0,1,7,0.016031501814723015,1.3428077697753906,0.021739130434782608
