lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.28693440556526184,0.29963111877441406,0.0
1,0.0001,8.0,10,10,0.29231321811676025,0.2938704490661621,0.0
2,0.0001518445924339445,8.0,10,10,0.2968815565109253,0.2920644283294678,0.0
3,0.0002305678025143074,8.0,10,10,0.300933837890625,0.31165266036987305,0.0
4,0.00035010474001175213,8.0,10,10,0.30454733967781067,0.3023819923400879,0.0
5,0.0005316151155627665,8.0,10,10,0.3078504502773285,0.3124516010284424,0.0
6,0.000807228805543526,8.0,10,10,0.3109552264213562,0.3120555877685547,0.0
7,0.0012257332897869654,8.0,10,10,0.31384074687957764,0.3259124755859375,0.0
8,0.0018612097182041994,8.0,10,10,0.31653326749801636,0.3620872497558594,0.0
9,0.0028261463109481365,8.0,10,10,0.3190588355064392,0.5012555122375488,0.0
10,0.004291350347446156,8.0,10,10,0.32145601511001587,0.5036556720733643,0.0
11,0.006516183444992277,8.0,10,10,0.32370445132255554,0.4998807907104492,0.0
12,0.009894472194296698,8.0,10,10,0.32595252990722656,0.505786657333374,0.0
13,0.015024220976919786,8.0,10,10,0.32812774181365967,0.5011410713195801,0.0
14,0.022813467108779066,8.0,10,10,0.3306952714920044,0.5001425743103027,0.0
15,0.03464101615137756,8.0,10,10,0.3302280306816101,0.501166820526123,0.0
16,0.05260050979003619,8.0,10,10,0.32140421867370605,0.5013923645019531,0.0
17,0.07987102970885754,8.0,10,10,0.3578716516494751,0.5032773017883301,0.0
18,0.12127983953420945,8.0,10,10,0.37863028049468994,0.5003278255462646,0.0
19,0.18415687804526243,8.0,10,10,0.36653169989585876,0.4995245933532715,0.0
20,0.27963226090690496,8.0,10,10,0.3004242777824402,0.5002529621124268,0.0
21,0.4246064668879146,8.0,10,10,0.23782050609588623,0.5036778450012207,0.0
22,0.6447419590941255,8.0,10,10,0.1321442723274231,0.50632643699646,0.0
23,0.979005800037105,8.0,10,10,0.07019662111997604,0.5017540454864502,0.0
24,1.4865673669710213,8.0,10,10,0.020029935985803604,0.5130796432495117,0.0
25,2.2572721596331653,8.0,10,10,0.02554178237915039,0.5060174465179443,0.0
26,3.42754571091988,8.0,10,10,0.024431824684143066,0.5096955299377441,0.0
27,5.204542815233443,8.0,10,10,0.01917559839785099,0.5035293102264404,0.0
28,7.902816825841355,8.0,10,10,0.023731090128421783,0.5082614421844482,0.0
29,12.0,8.0,10,10,0.016634821891784668,0.5097649097442627,0.0
