lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.09801939129829407,0.4458010196685791,0.0
1,0.0001,8.0,10,10,0.09556601941585541,0.31905603408813477,0.0
2,0.0001518445924339445,8.0,10,10,0.09879843145608902,0.368915319442749,0.0
3,0.0002305678025143074,8.0,10,10,0.10209282487630844,0.3694593906402588,0.0
4,0.00035010474001175213,8.0,10,10,0.10524861514568329,0.4191923141479492,0.0
5,0.0005316151155627665,8.0,10,10,0.10851728916168213,0.4839909076690674,0.0
6,0.000807228805543526,8.0,10,10,0.1106686145067215,0.4984409809112549,0.0
7,0.0012257332897869654,8.0,10,10,0.11461116373538971,0.5131111145019531,0.0
8,0.0018612097182041994,8.0,10,10,0.11815719306468964,0.5139062404632568,0.0
9,0.0028261463109481365,8.0,10,10,0.12330193817615509,0.512871265411377,0.0
10,0.004291350347446156,8.0,10,10,0.127919539809227,0.5136208534240723,0.0
11,0.006516183444992277,8.0,10,10,0.12992529571056366,0.5140395164489746,0.0
12,0.009894472194296698,8.0,10,10,0.1325336992740631,0.5142641067504883,0.0
13,0.015024220976919786,8.0,10,10,0.13550490140914917,0.5153360366821289,0.0
14,0.022813467108779066,8.0,10,10,0.1274070143699646,0.5156495571136475,0.0
15,0.03464101615137756,8.0,10,10,0.12421917915344238,0.5143113136291504,0.0
16,0.05260050979003619,8.0,10,10,0.13770802319049835,0.5148801803588867,0.0
17,0.07987102970885754,8.0,10,10,0.16346076130867004,0.5147216320037842,0.0
18,0.12127983953420945,8.0,10,10,0.0701432079076767,0.5135335922241211,0.0
19,0.18415687804526243,8.0,10,10,0.02083141915500164,0.5131261348724365,0.0
20,0.27963226090690496,8.0,10,10,0.013541102409362793,0.5131607055664062,0.0
21,0.4246064668879146,8.0,10,10,0.01607285439968109,0.5139045715332031,0.0
22,0.6447419590941255,8.0,10,10,0.02392912283539772,0.5127198696136475,0.0
23,0.979005800037105,8.0,10,10,0.010421358048915863,0.5126504898071289,0.0
24,1.4865673669710213,8.0,10,10,0.022290527820587158,0.5129857063293457,0.0
25,2.2572721596331653,8.0,10,10,0.022824078798294067,0.5134382247924805,0.0
26,3.42754571091988,8.0,10,10,0.019599102437496185,0.5135891437530518,0.0
27,5.204542815233443,8.0,10,10,0.014678090810775757,0.5133533477783203,0.0
28,7.902816825841355,8.0,10,10,0.01550726592540741,0.5137922763824463,0.0
29,12.0,8.0,10,10,0.01837238110601902,0.513533353805542,0.0
