lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.025599807500839233,2.0294547080993652,0.055248618784530384
1,0.0001,8.0,1,8,0.023286893963813782,2.0981223583221436,0.10989010989010989
2,0.0001518445924339445,8.0,1,8,0.024316970258951187,2.2389514446258545,0.16393442622950818
3,0.0002305678025143074,8.0,1,9,0.022831842303276062,2.17191481590271,0.055248618784530384
4,0.00035010474001175213,8.0,1,8,0.021237477660179138,2.508721351623535,0.16393442622950818
5,0.0005316151155627665,8.0,1,8,0.019823968410491943,2.5083556175231934,0.16393442622950818
6,0.000807228805543526,8.0,1,8,0.019230782985687256,2.489337682723999,0.10989010989010989
7,0.0012257332897869654,8.0,1,8,0.021197855472564697,2.4072508811950684,0.16393442622950818
8,0.0018612097182041994,8.0,1,8,0.021546006202697754,2.490121603012085,0.16393442622950818
9,0.0028261463109481365,8.0,1,8,0.02017219364643097,2.49104380607605,0.16393442622950818
10,0.004291350347446156,8.0,1,8,0.02039891481399536,2.507939100265503,0.16393442622950818
11,0.006516183444992277,8.0,1,8,0.020251497626304626,2.4980926513671875,0.16393442622950818
12,0.009894472194296698,8.0,1,8,0.024977996945381165,2.4945623874664307,0.10989010989010989
13,0.015024220976919786,8.0,1,7,0.021087542176246643,2.497462034225464,0.21739130434782608
14,0.022813467108779066,8.0,1,4,0.0018732845783233643,2.508805751800537,0.6735751295336787
15,0.03464101615137756,8.0,1,3,0.0015599876642227173,2.602228879928589,0.7216494845360825
16,0.05260050979003619,8.0,1,3,0.002796582877635956,2.4771780967712402,0.8163265306122449
17,0.07987102970885754,8.0,1,3,0.0021120458841323853,2.4977636337280273,0.8163265306122449
18,0.12127983953420945,8.0,1,3,0.002992585301399231,2.5980348587036133,0.8163265306122449
19,0.18415687804526243,8.0,1,4,0.0054397135972976685,2.497800588607788,0.5263157894736842
20,0.27963226090690496,8.0,1,4,0.006975039839744568,2.4976141452789307,-0.029850746268656716
21,0.4246064668879146,8.0,1,4,0.016440987586975098,2.4989418983459473,0.11398963730569948
22,0.6447419590941255,8.0,1,6,0.024104256182909012,2.497187614440918,0.17297297297297298
23,0.979005800037105,8.0,1,3,0.015202514827251434,2.595778226852417,-0.01020408163265306
24,1.4865673669710213,8.0,1,4,0.025686223059892654,2.5008795261383057,-0.125
25,2.2572721596331653,8.0,1,4,0.020832285284996033,2.594892978668213,-0.01020408163265306
26,3.42754571091988,8.0,1,6,0.01832502707839012,2.5032191276550293,0.0855614973262032
27,5.204542815233443,8.0,1,4,0.012027725577354431,2.498608350753784,-0.10204081632653061
28,7.902816825841355,8.0,1,5,0.00874757394194603,2.4981253147125244,0.0
29,12.0,8.0,1,3,0.01883341372013092,2.4990241527557373,-0.01020408163265306
