[Run] outdir = outputs/v3_mid_nl
[Run] Data Version = 3
[Run] round_decimals = 1
--- Using device: cpu ---
Lambda values (len=30): [0.00000000e+00 1.00000000e-04 1.51844592e-04 2.30567803e-04
 3.50104740e-04 5.31615116e-04 8.07228806e-04 1.22573329e-03
 1.86120972e-03 2.82614631e-03 4.29135035e-03 6.51618344e-03
 9.89447219e-03 1.50242210e-02 2.28134671e-02 3.46410162e-02
 5.26005098e-02 7.98710297e-02 1.21279840e-01 1.84156878e-01
 2.79632261e-01 4.24606467e-01 6.44741959e-01 9.79005800e-01
 1.48656737e+00 2.25727216e+00 3.42754571e+00 5.20454282e+00
 7.90281683e+00 1.20000000e+01]
--- [Stage 1] Pretrain NN (regression) ---
[Train] it=  100 | val_mse=0.620077
[Train] it=  200 | val_mse=0.465099

=== [Alt Cycle 1/4] ADMM ===
[ADMM]  18/30 λ= 0.0799 | C@1d=10 | minLinf=2.05e-01 | T=  2.50s | ARI=0.0000
[ADMM]  19/30 λ= 0.1213 | C@1d=10 | minLinf=2.19e-01 | T=  2.50s | ARI=0.0000
[ADMM]  20/30 λ= 0.1842 | C@1d=10 | minLinf=1.32e-01 | T=  2.50s | ARI=0.0000
[ADMM]  21/30 λ= 0.2796 | C@1d=10 | minLinf=4.31e-02 | T=  2.50s | ARI=0.0000
[ADMM]  22/30 λ= 0.4246 | C@1d=10 | minLinf=3.50e-02 | T=  2.50s | ARI=0.0000
[ADMM]  23/30 λ= 0.6447 | C@1d=10 | minLinf=4.41e-02 | T=  2.70s | ARI=0.0000
[ADMM]  24/30 λ= 0.9790 | C@1d= 9 | minLinf=3.07e-02 | T=  2.50s | ARI=0.0552
[ADMM]  25/30 λ= 1.4866 | C@1d= 7 | minLinf=2.06e-02 | T=  2.63s | ARI=0.0323
[ADMM]  26/30 λ= 2.2573 | C@1d= 6 | minLinf=1.90e-02 | T=  2.46s | ARI=0.1290
[ADMM]  27/30 λ= 3.4275 | C@1d= 7 | minLinf=1.88e-02 | T=  2.50s | ARI=-0.1311
[ADMM]  28/30 λ= 5.2045 | C@1d= 4 | minLinf=1.85e-02 | T=  2.50s | ARI=0.0816
[ADMM]  29/30 λ= 7.9028 | C@1d= 6 | minLinf=1.51e-02 | T=  2.60s | ARI=-0.0421
[ADMM]  30/30 λ=12.0000 | C@1d= 6 | minLinf=1.66e-02 | T=  2.50s | ARI=0.0856
[Alt] pick Z* from lambda idx=25 (ARI=0.1290)
=== [Alt Cycle 1] Finetune NN with tether mu=1.0 ===
[Train] it=  100 | val_mse=0.547033

=== [Alt Cycle 2/4] ADMM ===
[ADMM]   1/30 λ= 0.0000 | C@1d= 7 | minLinf=1.59e-02 | T=  2.03s | ARI=0.2174
[ADMM]   2/30 λ= 0.0001 | C@1d= 9 | minLinf=1.12e-02 | T=  2.10s | ARI=0.0552
[ADMM]   3/30 λ= 0.0002 | C@1d= 8 | minLinf=1.50e-02 | T=  2.28s | ARI=0.1099
[ADMM]   4/30 λ= 0.0002 | C@1d= 9 | minLinf=1.82e-02 | T=  2.51s | ARI=0.0552
[ADMM]   5/30 λ= 0.0004 | C@1d= 8 | minLinf=2.14e-02 | T=  2.50s | ARI=0.1639
[ADMM]   6/30 λ= 0.0005 | C@1d= 8 | minLinf=2.62e-02 | T=  2.54s | ARI=0.1639
[ADMM]   7/30 λ= 0.0008 | C@1d= 9 | minLinf=2.99e-02 | T=  2.59s | ARI=0.0552
[ADMM]   8/30 λ= 0.0012 | C@1d= 9 | minLinf=2.98e-02 | T=  2.50s | ARI=0.0552
[ADMM]   9/30 λ= 0.0019 | C@1d= 8 | minLinf=3.11e-02 | T=  2.50s | ARI=0.1639
[ADMM]  10/30 λ= 0.0028 | C@1d= 7 | minLinf=3.04e-02 | T=  2.50s | ARI=0.3226
[ADMM]  11/30 λ= 0.0043 | C@1d= 8 | minLinf=3.11e-02 | T=  2.50s | ARI=0.1639
