lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.030699055641889572,1.0304875373840332,0.055248618784530384
1,0.0001,8.0,1,10,0.029797740280628204,0.9100856781005859,0.0
2,0.00012742749857031334,8.0,1,10,0.02865765243768692,0.8313148021697998,0.0
3,0.0001623776739188721,8.0,1,10,0.027250349521636963,0.9873154163360596,0.0
4,0.00020691380811147902,8.0,1,9,0.026866406202316284,0.985058069229126,0.055248618784530384
5,0.00026366508987303583,8.0,1,9,0.027019917964935303,1.0134656429290771,0.055248618784530384
6,0.0003359818286283781,8.0,1,8,0.027625612914562225,0.8838999271392822,0.16393442622950818
7,0.00042813323987193956,8.0,1,8,0.028462469577789307,1.1849603652954102,0.16393442622950818
8,0.000545559478116852,8.0,1,9,0.028872840106487274,0.6902511119842529,0.055248618784530384
9,0.0006951927961775605,8.0,1,9,0.028642818331718445,1.0733389854431152,0.055248618784530384
10,0.0008858667904100823,8.0,1,9,0.028658948838710785,1.3463943004608154,0.055248618784530384
11,0.0011288378916846883,8.0,1,10,0.029057487845420837,1.3487844467163086,0.0
12,0.0014384498882876629,8.0,1,10,0.030320562422275543,1.3487489223480225,0.0
13,0.0018329807108324356,8.0,1,10,0.03005421906709671,1.349217176437378,0.0
14,0.002335721469090121,8.0,1,10,0.03138060122728348,1.3482444286346436,0.0
15,0.002976351441631319,8.0,1,10,0.031453222036361694,1.3528306484222412,0.0
16,0.00379269019073225,8.0,1,10,0.0322372168302536,1.3504424095153809,0.0
17,0.004832930238571752,8.0,1,10,0.034041523933410645,1.3567326068878174,0.0
18,0.00615848211066026,8.0,1,10,0.030980184674263,1.3439526557922363,0.0
19,0.007847599703514606,8.0,1,10,0.03137899935245514,1.2951946258544922,0.0
20,0.01,8.0,1,10,0.03038822114467621,1.1330418586730957,0.0
21,0.012742749857031334,8.0,1,10,0.031272292137145996,1.3485469818115234,0.0
22,0.01623776739188721,8.0,1,10,0.03202638030052185,1.3509926795959473,0.0
23,0.0206913808111479,8.0,1,9,0.02507537603378296,1.3479421138763428,0.055248618784530384
24,0.026366508987303583,8.0,1,9,0.004154562950134277,1.3484899997711182,0.055248618784530384
25,0.03359818286283781,8.0,1,7,0.0023915842175483704,1.3466870784759521,0.21739130434782608
26,0.04281332398719392,8.0,1,7,0.0024891197681427,1.3516883850097656,0.21739130434782608
27,0.05455594781168514,8.0,1,3,0.005283266305923462,1.3476898670196533,0.8163265306122449
28,0.06951927961775606,8.0,1,3,0.006705239415168762,1.3476808071136475,0.8163265306122449
29,0.08858667904100823,8.0,1,3,0.003751024603843689,1.3488762378692627,0.8163265306122449
30,0.11288378916846883,8.0,1,5,0.004353150725364685,1.3477542400360107,0.47619047619047616
31,0.14384498882876628,8.0,1,7,0.01102660596370697,1.3523828983306885,0.3225806451612903
32,0.18329807108324356,8.0,1,6,0.012586429715156555,1.347691535949707,0.37433155080213903
33,0.23357214690901212,8.0,1,7,0.00959150493144989,1.3467047214508057,0.11956521739130435
34,0.29763514416313164,8.0,1,8,0.017183415591716766,1.3468329906463623,-0.03278688524590164
35,0.3792690190732246,8.0,1,8,0.02141079120337963,1.3436429500579834,-0.03278688524590164
36,0.4832930238571752,8.0,1,8,0.017570585012435913,1.3499834537506104,0.10989010989010989
37,0.615848211066026,8.0,1,6,0.021226242184638977,1.352360486984253,-0.042105263157894736
38,0.7847599703514607,8.0,1,8,0.023435644805431366,1.3466167449951172,0.10989010989010989
39,1.0,8.0,1,7,0.019670873880386353,1.3479247093200684,0.021739130434782608
