lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.019861474633216858,1.0457122325897217,0.055248618784530384
1,0.0001,8.0,1,9,0.021352261304855347,0.976515531539917,0.055248618784530384
2,0.00012742749857031334,8.0,1,9,0.020905107259750366,0.9470963478088379,0.055248618784530384
3,0.0001623776739188721,8.0,1,9,0.02144181728363037,0.9192287921905518,0.055248618784530384
4,0.00020691380811147902,8.0,1,8,0.021943658590316772,0.955857515335083,0.10989010989010989
5,0.00026366508987303583,8.0,1,8,0.022390305995941162,0.9342339038848877,0.10989010989010989
6,0.0003359818286283781,8.0,1,8,0.022785067558288574,0.948784351348877,0.10989010989010989
7,0.00042813323987193956,8.0,1,6,0.023152858018875122,1.0679118633270264,0.2702702702702703
8,0.000545559478116852,8.0,1,6,0.02347847819328308,1.3064396381378174,0.2702702702702703
9,0.0006951927961775605,8.0,1,6,0.02411334216594696,1.3453214168548584,0.2702702702702703
10,0.0008858667904100823,8.0,1,6,0.02563212811946869,1.3457074165344238,0.2702702702702703
11,0.0011288378916846883,8.0,1,6,0.027214333415031433,1.3434646129608154,0.2702702702702703
12,0.0014384498882876629,8.0,1,7,0.025935769081115723,1.3435275554656982,0.21739130434782608
13,0.0018329807108324356,8.0,1,7,0.02710406482219696,1.3450932502746582,0.21739130434782608
14,0.002335721469090121,8.0,1,7,0.027193844318389893,1.344895839691162,0.21739130434782608
15,0.002976351441631319,8.0,1,7,0.02901439368724823,1.3443498611450195,0.21739130434782608
16,0.00379269019073225,8.0,1,7,0.030721426010131836,1.3447558879852295,0.21739130434782608
17,0.004832930238571752,8.0,1,8,0.028911158442497253,1.3456745147705078,0.10989010989010989
18,0.00615848211066026,8.0,1,9,0.03132718801498413,0.5979435443878174,0.055248618784530384
19,0.007847599703514606,8.0,1,8,0.030771806836128235,0.5915403366088867,0.10989010989010989
20,0.01,8.0,1,8,0.029823824763298035,0.5908451080322266,0.10989010989010989
21,0.012742749857031334,8.0,1,8,0.030526965856552124,0.5915753841400146,0.10989010989010989
22,0.01623776739188721,8.0,1,10,0.04049268364906311,0.5906486511230469,0.0
23,0.0206913808111479,8.0,1,8,0.04154491424560547,0.9323439598083496,0.10989010989010989
24,0.026366508987303583,8.0,1,6,0.03482648730278015,1.3447890281677246,0.2702702702702703
25,0.03359818286283781,8.0,1,3,0.005676627159118652,1.3470189571380615,0.8163265306122449
26,0.04281332398719392,8.0,1,3,0.004514321684837341,1.3454160690307617,0.8163265306122449
27,0.05455594781168514,8.0,1,3,0.0025243759155273438,1.3454084396362305,0.8163265306122449
28,0.06951927961775606,8.0,1,2,0.0031073391437530518,1.3506278991699219,1.0
29,0.08858667904100823,8.0,1,4,0.004795953631401062,1.3471877574920654,0.625
30,0.11288378916846883,8.0,1,4,0.005808115005493164,1.3466672897338867,0.6735751295336787
31,0.14384498882876628,8.0,1,4,0.009859427809715271,0.7623908519744873,0.625
32,0.18329807108324356,8.0,1,3,0.00926370918750763,0.5875735282897949,0.8163265306122449
33,0.23357214690901212,8.0,1,6,0.020853376016020775,0.8880879878997803,0.3225806451612903
34,0.29763514416313164,8.0,1,5,0.015757068991661072,1.3414678573608398,0.0425531914893617
35,0.3792690190732246,8.0,1,5,0.02072066068649292,0.8168900012969971,0.19895287958115182
36,0.4832930238571752,8.0,1,8,0.022387903183698654,1.3469407558441162,0.10989010989010989
37,0.615848211066026,8.0,1,5,0.014891117811203003,1.3469464778900146,-0.06153846153846154
38,0.7847599703514607,8.0,1,7,0.014158293604850769,1.3472845554351807,-0.07608695652173914
39,1.0,8.0,1,6,0.013963758945465088,1.3459150791168213,0.14736842105263157
