lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.02422325871884823,0.7369766235351562,0.0
1,0.0001,8.0,1,9,0.025165293365716934,0.6342868804931641,0.055248618784530384
2,0.00015978449816454933,8.0,1,8,0.02526944875717163,0.7336742877960205,0.10989010989010989
3,0.0002553108585369684,8.0,1,9,0.02525821328163147,0.9824216365814209,0.055248618784530384
4,0.0004079471740728974,8.0,1,9,0.02544499933719635,0.5751359462738037,0.055248618784530384
5,0.0006518363448688389,8.0,1,9,0.02717643976211548,0.6642401218414307,0.055248618784530384
6,0.0010415334325028153,8.0,1,9,0.027517780661582947,0.7967729568481445,0.055248618784530384
7,0.0016642089683406285,8.0,1,9,0.027842696756124496,0.8259029388427734,0.055248618784530384
8,0.0026591479484724943,8.0,1,9,0.028176382184028625,0.810955286026001,0.055248618784530384
9,0.0042489062049196795,8.0,1,9,0.028281936421990395,1.157926082611084,0.055248618784530384
10,0.006789093457013307,8.0,1,10,0.027508199214935303,1.1693291664123535,0.0
11,0.010847918910210965,8.0,1,8,0.026841918006539345,1.104736566543579,0.10989010989010989
12,0.017333292791977824,8.0,1,8,0.022712334990501404,0.7960526943206787,0.10989010989010989
13,0.027695914903053766,8.0,1,5,0.007002726197242737,1.0093936920166016,0.425531914893617
14,0.04425377863992504,8.0,1,3,0.0011894404888153076,0.6933789253234863,0.8163265306122449
15,0.07071067811865475,8.0,1,2,0.003290325403213501,1.0782384872436523,1.0
16,0.11298470218064216,8.0,1,4,0.001330733299255371,0.8673620223999023,0.5263157894736842
17,0.1805320393820497,8.0,1,6,0.004180997610092163,0.7648837566375732,0.37433155080213903
18,0.28846221315283466,8.0,1,4,0.008467882871627808,0.7711431980133057,0.625
19,0.460917899680609,8.0,1,7,0.011794565245509148,0.8380060195922852,0.16393442622950818
20,0.736475352955242,8.0,1,5,0.014812678098678589,0.7260522842407227,0.0425531914893617
21,1.1767734468251267,8.0,1,8,0.019219182431697845,0.7907497882843018,0.01098901098901099
22,1.8803015465431967,8.0,1,7,0.02066151052713394,0.7793846130371094,0.021739130434782608
23,3.0044303901243037,8.0,1,7,0.023276928812265396,0.8141310214996338,0.11956521739130435
24,4.800614021563325,8.0,1,6,0.021221421658992767,0.8918380737304688,-0.0106951871657754
25,7.670637023171956,8.0,1,6,0.024539560079574585,1.0121512413024902,-0.0106951871657754
26,12.256488873499423,8.0,1,7,0.024549409747123718,0.8920893669128418,0.3225806451612903
27,19.583969239114857,8.0,1,7,0.01922481507062912,0.7564382553100586,0.3225806451612903
28,31.292146969419417,8.0,1,6,0.019354917109012604,0.8479549884796143,-0.042105263157894736
29,50.0,8.0,1,7,0.018362898379564285,0.8429696559906006,0.03225806451612903
