lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,8,0.029903557151556015,2.0352632999420166,0.10989010989010989
1,0.0001,8.0,1,7,0.024864617735147476,2.122675895690918,0.21739130434782608
2,0.0001518445924339445,8.0,1,8,0.023443877696990967,2.0013108253479004,0.16393442622950818
3,0.0002305678025143074,8.0,1,7,0.02448415756225586,2.352511167526245,0.21739130434782608
4,0.00035010474001175213,8.0,1,8,0.024482980370521545,2.287827968597412,0.16393442622950818
5,0.0005316151155627665,8.0,1,8,0.023434795439243317,2.538151979446411,0.10989010989010989
6,0.000807228805543526,8.0,1,9,0.023545894771814346,2.605863571166992,0.055248618784530384
7,0.0012257332897869654,8.0,1,9,0.02131151780486107,2.4955978393554688,0.055248618784530384
8,0.0018612097182041994,8.0,1,9,0.02144658751785755,2.594055652618408,0.055248618784530384
9,0.0028261463109481365,8.0,1,9,0.021866030991077423,2.7061655521392822,0.055248618784530384
10,0.004291350347446156,8.0,1,8,0.02171545848250389,2.594022274017334,0.16393442622950818
11,0.006516183444992277,8.0,1,9,0.02065744251012802,2.4925026893615723,0.055248618784530384
12,0.009894472194296698,8.0,1,7,0.020175591111183167,2.620317220687866,0.21739130434782608
13,0.015024220976919786,8.0,1,7,0.016238436102867126,2.4811761379241943,0.21739130434782608
14,0.022813467108779066,8.0,1,3,0.0027448227629065514,2.3989334106445312,0.7216494845360825
15,0.03464101615137756,8.0,1,2,0.0012793825007975101,2.5989153385162354,1.0
16,0.05260050979003619,8.0,1,3,0.002751188352704048,2.496694326400757,0.8163265306122449
17,0.07987102970885754,8.0,1,2,0.002491084858775139,2.497898817062378,1.0
18,0.12127983953420945,8.0,1,5,0.003250516951084137,2.501677989959717,0.3225806451612903
19,0.18415687804526243,8.0,1,6,0.01201656460762024,2.495420217514038,0.5263157894736842
20,0.27963226090690496,8.0,1,7,0.0059443190693855286,2.5008366107940674,0.21739130434782608
21,0.4246064668879146,8.0,1,7,0.01208864152431488,2.498292922973633,0.021739130434782608
22,0.6447419590941255,8.0,1,9,0.021824195981025696,2.4974005222320557,0.055248618784530384
23,0.979005800037105,8.0,1,8,0.008342348039150238,2.5976998805999756,0.10989010989010989
24,1.4865673669710213,8.0,1,10,0.036850593984127045,2.50079083442688,0.0
25,2.2572721596331653,8.0,1,8,0.02105344831943512,2.496249198913574,0.01098901098901099
26,3.42754571091988,8.0,1,10,0.023829534649848938,2.5023481845855713,0.0
27,5.204542815233443,8.0,1,6,0.010194186121225357,2.711207628250122,-0.021621621621621623
28,7.902816825841355,8.0,1,10,0.017111217603087425,2.497110366821289,0.0
29,12.0,8.0,1,8,0.012247446924448013,2.500694513320923,-0.08791208791208792
