lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,8,0.025054901838302612,2.1266000270843506,0.10989010989010989
1,0.0001,8.0,1,9,0.025622278451919556,2.1975901126861572,0.055248618784530384
2,0.0001518445924339445,8.0,1,10,0.02442474663257599,2.058305501937866,0.0
3,0.0002305678025143074,8.0,1,10,0.023228630423545837,2.1749706268310547,0.0
4,0.00035010474001175213,8.0,1,10,0.022874876856803894,2.477121353149414,0.0
5,0.0005316151155627665,8.0,1,10,0.023005202412605286,2.62146258354187,0.0
6,0.000807228805543526,8.0,1,10,0.023405835032463074,2.661346435546875,0.0
7,0.0012257332897869654,8.0,1,10,0.023717284202575684,2.520836591720581,0.0
8,0.0018612097182041994,8.0,1,10,0.02635379135608673,2.5947396755218506,0.0
9,0.0028261463109481365,8.0,1,9,0.028625890612602234,2.499255657196045,0.055248618784530384
10,0.004291350347446156,8.0,1,10,0.02748677134513855,2.500742197036743,0.0
11,0.006516183444992277,8.0,1,10,0.026417508721351624,2.500185012817383,0.0
12,0.009894472194296698,8.0,1,10,0.02218538522720337,2.4976613521575928,0.0
13,0.015024220976919786,8.0,1,8,0.017946749925613403,2.504511594772339,0.10989010989010989
14,0.022813467108779066,8.0,1,5,0.007725134491920471,2.4971883296966553,0.5759162303664922
15,0.03464101615137756,8.0,1,3,0.0017180293798446655,2.4612338542938232,0.8163265306122449
16,0.05260050979003619,8.0,1,3,0.002091921865940094,2.6336476802825928,0.8163265306122449
17,0.07987102970885754,8.0,1,4,0.0020349323749542236,2.6967098712921143,0.425531914893617
18,0.12127983953420945,8.0,1,5,0.0037645623087882996,2.5099294185638428,0.47619047619047616
19,0.18415687804526243,8.0,1,4,0.006742164492607117,2.502134323120117,-0.029850746268656716
20,0.27963226090690496,8.0,1,4,0.004717022180557251,2.6905198097229004,0.6735751295336787
21,0.4246064668879146,8.0,1,8,0.021879149600863457,2.4902215003967285,0.16393442622950818
22,0.6447419590941255,8.0,1,8,0.013847306370735168,2.5979509353637695,-0.03278688524590164
23,0.979005800037105,8.0,1,8,0.011101024225354195,2.5403521060943604,-0.03278688524590164
24,1.4865673669710213,8.0,1,10,0.01639533042907715,2.4559359550476074,0.0
25,2.2572721596331653,8.0,1,10,0.01812472939491272,2.499077081680298,0.0
26,3.42754571091988,8.0,1,7,0.013467840850353241,2.492060422897339,-0.07608695652173914
27,5.204542815233443,8.0,1,8,0.014120915904641151,2.4967727661132812,0.10989010989010989
28,7.902816825841355,8.0,1,8,0.02174314856529236,2.499680757522583,-0.03278688524590164
29,12.0,8.0,1,8,0.017748337239027023,2.694035291671753,-0.03278688524590164
