lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.09932924807071686,0.25995492935180664,0.0
1,0.0001,8.0,10,10,0.09933504462242126,0.29576945304870605,0.0
2,0.00012640883055713373,8.0,10,10,0.10040167719125748,0.2866044044494629,0.0
3,0.00015979192442822145,8.0,10,10,0.10227881371974945,0.3572428226470947,0.0
4,0.00020199110299445384,8.0,10,10,0.10478593409061432,0.3397488594055176,0.0
5,0.0002553345911247446,8.0,10,10,0.10859839618206024,0.3579714298248291,0.0
6,0.00032276547064862866,8.0,10,10,0.11217860877513885,0.3616180419921875,0.0
7,0.00040800405688916016,8.0,10,10,0.1155233085155487,0.34023189544677734,0.0
8,0.0005157531569392505,8.0,10,10,0.1175096407532692,0.36673927307128906,0.0
9,0.0006519575342484052,8.0,10,10,0.12306717038154602,0.34044742584228516,0.0
10,0.0008241318947725336,8.0,10,10,0.12466367334127426,0.31337857246398926,0.0
11,0.0010417754904303077,8.0,10,10,0.12768769264221191,0.37581300735473633,0.0
12,0.0013168962144837965,8.0,10,10,0.13036540150642395,0.3670530319213867,0.0
13,0.0016646731043801306,8.0,10,10,0.13296544551849365,0.3762385845184326,0.0
14,0.0021042938038460593,8.0,10,10,0.13560602068901062,0.42507290840148926,0.0
15,0.002660013188928029,8.0,10,10,0.13817086815834045,0.4607198238372803,0.0
16,0.003362491564789445,8.0,10,10,0.14066442847251892,0.460690975189209,0.0
17,0.004250486264632604,8.0,10,10,0.1433189958333969,0.4610261917114258,0.0
18,0.005372989980113671,8.0,10,10,0.14573787152767181,0.461245059967041,0.0
19,0.006791933799813663,8.0,10,10,0.1484670788049698,0.46109986305236816,0.0
20,0.008585604088559148,8.0,10,10,0.15144366025924683,0.4614570140838623,0.0
21,0.010852961724613079,8.0,10,10,0.15450266003608704,0.46131205558776855,0.0
22,0.01371910199689674,8.0,10,10,0.1574486494064331,0.4615206718444824,0.0
23,0.017342156397217548,8.0,10,10,0.15889079868793488,0.4613330364227295,0.0
24,0.021922017095111858,8.0,10,10,0.1633588671684265,0.4611818790435791,0.0
25,0.027711365444465837,8.0,10,10,0.1575077474117279,0.4613485336303711,0.0
26,0.035029612989762926,8.0,10,10,0.1427527815103531,0.4621303081512451,0.0
27,0.04428052412904917,8.0,10,10,0.15617255866527557,0.46120429039001465,0.0
28,0.055974492716100485,8.0,10,10,0.1884225457906723,0.46161746978759766,0.0
29,0.07075670165271061,8.0,10,10,0.18307533860206604,0.4655735492706299,0.0
30,0.0894427190999916,8.0,10,10,0.19077087938785553,0.4610903263092041,0.0
31,0.11306349523280158,8.0,10,10,0.141286700963974,0.46143102645874023,0.0
32,0.14292224211080512,8.0,10,10,0.052992597222328186,0.4610171318054199,0.0
33,0.18066633485830408,8.0,10,10,0.016485124826431274,0.4607980251312256,0.0
34,0.22837820110481744,8.0,10,10,0.012576080858707428,0.4615626335144043,0.0
35,0.2886902132640188,8.0,10,10,0.017202161252498627,0.46112704277038574,0.0
36,0.3649299225199419,8.0,10,10,0.010210111737251282,0.4606897830963135,0.0
37,0.4613036474105127,8.0,10,10,0.019266925752162933,0.46099281311035156,0.0
38,0.5831285460090326,8.0,10,10,0.01166725903749466,0.4612131118774414,0.0
39,0.7371259756548356,8.0,10,10,0.022691812366247177,0.4611992835998535,0.0
40,0.931792325558141,8.0,10,10,0.01405545324087143,0.46068239212036133,0.0
41,1.177867781959165,8.0,10,10,0.017207056283950806,0.4610788822174072,0.0
42,1.48892888868383,8.0,10,10,0.01712324470281601,0.4613509178161621,0.0
43,1.882137596012561,8.0,10,10,0.020294450223445892,0.46036505699157715,0.0
44,2.3791881245956286,8.0,10,10,0.017347075045108795,0.4609823226928711,0.0
45,3.0075038850555353,8.0,10,10,0.016862720251083374,0.46138906478881836,0.0
46,3.801750490059066,8.0,10,10,0.0175715833902359,0.46053433418273926,0.0
47,4.8057483351837655,8.0,10,10,0.01820307970046997,0.46068596839904785,0.0
48,6.074890270024722,8.0,10,10,0.015491306781768799,0.46107959747314453,0.0
49,7.679197747967353,8.0,10,10,0.014306135475635529,0.4609081745147705,0.0
50,9.70718406937528,8.0,10,10,0.02091352641582489,0.4607431888580322,0.0
51,12.270737862125678,8.0,10,10,0.02145850658416748,0.4606766700744629,0.0
52,15.511296232244533,8.0,10,10,0.021729959174990654,0.4607994556427002,0.0
53,19.60764817143306,8.0,10,10,0.01613268442451954,0.46138644218444824,0.0
54,24.785798753265745,8.0,10,10,0.016179874539375305,0.4608116149902344,0.0
55,31.33143834824786,8.0,10,10,0.018445007503032684,0.4608020782470703,0.0
56,39.60570481274946,8.0,10,10,0.02068348601460457,0.46393418312072754,0.0
57,50.06510828770702,8.0,10,10,0.014304839074611664,0.4611392021179199,0.0
58,63.28671790365308,8.0,10,10,0.009167544543743134,0.4605863094329834,0.0
59,80.0,8.0,10,10,0.01532784104347229,0.4606955051422119,0.0
