lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.025073938071727753,0.5830631256103516,0.0
1,0.0001,8.0,1,10,0.02667747437953949,0.32802438735961914,0.0
2,0.00012742749857031334,8.0,1,10,0.02870652824640274,0.31090807914733887,0.0
3,0.0001623776739188721,8.0,1,9,0.031252723187208176,0.3531055450439453,0.055248618784530384
4,0.00020691380811147902,8.0,1,8,0.0333581268787384,0.37250232696533203,0.10989010989010989
5,0.00026366508987303583,8.0,1,8,0.031731538474559784,0.3769845962524414,0.10989010989010989
6,0.0003359818286283781,8.0,1,8,0.030917491763830185,0.33766722679138184,0.10989010989010989
7,0.00042813323987193956,8.0,1,8,0.030405540019273758,0.4205360412597656,0.10989010989010989
8,0.000545559478116852,8.0,1,8,0.03005708009004593,0.4574575424194336,0.10989010989010989
9,0.0006951927961775605,8.0,1,9,0.029836997389793396,0.4571409225463867,0.055248618784530384
10,0.0008858667904100823,8.0,1,9,0.028913363814353943,0.4669487476348877,0.055248618784530384
11,0.0011288378916846883,8.0,1,9,0.029134836047887802,0.4601860046386719,0.055248618784530384
12,0.0014384498882876629,8.0,1,8,0.02770894020795822,0.4622671604156494,0.10989010989010989
13,0.0018329807108324356,8.0,1,9,0.029018059372901917,0.4617912769317627,0.055248618784530384
14,0.002335721469090121,8.0,1,9,0.03051859885454178,0.47263002395629883,0.055248618784530384
15,0.002976351441631319,8.0,1,9,0.030593328177928925,0.4812760353088379,0.055248618784530384
16,0.00379269019073225,8.0,1,9,0.029704317450523376,0.4783303737640381,0.055248618784530384
17,0.004832930238571752,8.0,1,9,0.031754426658153534,0.468904972076416,0.055248618784530384
18,0.00615848211066026,8.0,1,9,0.030916638672351837,0.46570587158203125,0.055248618784530384
19,0.007847599703514606,8.0,1,9,0.03464910387992859,0.46045923233032227,0.055248618784530384
20,0.01,8.0,1,8,0.030837588012218475,0.4741520881652832,0.16393442622950818
21,0.012742749857031334,8.0,1,7,0.03375940024852753,0.4704315662384033,0.21739130434782608
22,0.01623776739188721,8.0,1,7,0.03323381394147873,0.4708251953125,0.16393442622950818
23,0.0206913808111479,8.0,1,6,0.028572410345077515,0.4668240547180176,0.3225806451612903
24,0.026366508987303583,8.0,1,6,0.006011024117469788,0.47031736373901367,0.3225806451612903
25,0.03359818286283781,8.0,1,3,0.00226004421710968,0.4697396755218506,0.8163265306122449
26,0.04281332398719392,8.0,1,4,0.004221916198730469,0.4643971920013428,0.625
27,0.05455594781168514,8.0,1,3,0.00484699010848999,0.46692466735839844,0.7216494845360825
28,0.06951927961775606,8.0,1,3,0.005093809217214584,0.468519926071167,0.8163265306122449
29,0.08858667904100823,8.0,1,2,0.004530228674411774,0.4659867286682129,1.0
30,0.11288378916846883,8.0,1,4,0.010891363024711609,0.47284364700317383,0.625
31,0.14384498882876628,8.0,1,7,0.006147652864456177,0.4681410789489746,0.21739130434782608
32,0.18329807108324356,8.0,1,10,0.0231340229511261,0.46671128273010254,0.0
33,0.23357214690901212,8.0,1,6,0.018352031707763672,0.4646146297454834,0.5263157894736842
34,0.29763514416313164,8.0,1,2,0.0074586160480976105,0.4795215129852295,-0.058823529411764705
35,0.3792690190732246,8.0,1,5,0.014787957072257996,0.46994543075561523,0.0
36,0.4832930238571752,8.0,1,4,0.01907624490559101,0.462094783782959,-0.01020408163265306
37,0.615848211066026,8.0,1,3,0.025256317108869553,0.46686649322509766,0.0
38,0.7847599703514607,8.0,1,5,0.021953903138637543,0.46922945976257324,0.18181818181818182
39,1.0,8.0,1,4,0.017907440662384033,0.4622459411621094,0.3005181347150259
